iter,time,#cg,#ls,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,20.358,3,0,591041700.311,3.244028,1108410.940213,747540.655753,818387.304630,482747530.678
2,115.766,20,0,479405231.230,2.846007,7002928.113976,124402.974579,7001823.053279,289906852.311
3,130.579,2,0,396881041.475,2.393461,1800385.211136,203572.929463,1788839.000823,147032724.749
4,177.033,9,0,377958510.183,2.217094,518088.952371,179065.317492,486160.235561,114249224.250
5,273.014,20,0,365835177.654,1.996236,403948.060825,118169.611432,386277.075140,110258537.402
6,369.411,20,0,362027976.795,1.976036,573089.530971,79352.636136,567569.176089,108013744.671
7,452.029,17,0,359651206.956,1.845794,228157.187916,78125.631493,214364.381606,101936379.407
8,548.311,20,0,358223582.152,1.835451,291229.901582,63460.681397,284231.591298,100997694.413
9,644.359,20,0,357092507.831,1.748332,149455.682322,49617.345200,140979.147513,98247299.533
10,741.002,20,0,356481797.411,1.748517,190404.302011,39547.573684,186251.946675,97911517.927
11,837.481,20,0,355986742.992,1.688106,109910.802001,35496.570149,104021.045487,96002515.501
12,934.000,20,0,355655451.815,1.689316,142542.172787,31345.507971,139052.976066,96290926.357
13,1030.393,20,0,355354875.849,1.643523,87273.330751,27966.834610,82670.976904,94893423.177
14,1126.706,20,0,355144740.558,1.644580,112007.660164,25806.246561,108994.282299,95105574.840
15,1222.977,20,0,354952916.787,1.608792,72178.835405,22598.267826,68550.000523,94069470.710
16,1319.453,20,0,354813092.611,1.610370,92893.586878,21484.201098,90375.038513,94336502.299
17,1415.784,20,0,354683190.804,1.581036,61371.601741,18820.137968,58414.689138,93481111.233
18,1512.307,20,0,354584955.499,1.583202,78713.147943,18213.737773,76576.885647,93770142.378
19,1608.762,20,0,354492707.406,1.558692,53409.407938,15997.896639,50957.160041,93074430.825
20,1705.197,20,0,354420938.103,1.561207,67550.211128,15681.395012,65704.831436,93358509.467
21,1802.096,20,0,354352969.186,1.540407,47296.841724,13830.702085,45229.447452,92792047.381
22,1898.644,20,0,354299044.028,1.543106,57586.295749,13656.561039,55943.541171,93052462.562
23,1995.058,20,0,354247681.338,1.525240,42312.122709,12115.419648,40540.502400,92584459.133
24,2091.892,20,0,354206216.538,1.527957,48992.488839,12001.866130,47499.675494,92816606.892
25,2188.670,20,0,354166557.523,1.512427,38204.659573,10716.198948,36670.957081,92416892.339
26,2285.483,20,0,354133998.389,1.515093,43385.237048,10632.648031,42062.163397,92625765.152
27,2382.295,20,0,354102767.311,1.501462,34705.856822,9550.837677,33365.820797,92277087.132
28,2479.205,20,0,354076742.939,1.504060,40080.923637,9485.748932,38942.277884,92468143.608
29,2575.639,20,0,354051682.648,1.491974,32152.527523,8567.418394,30990.068864,92162131.942
30,2672.021,20,0,354030592.576,1.494596,36881.946148,8511.912366,35886.282889,92348155.515
31,2768.447,20,0,354010271.705,1.483870,27371.356864,7743.862842,26253.071532,92074494.963
32,2864.913,20,0,353992979.256,1.486284,33485.018016,7685.218223,32591.162182,92221033.117
33,2961.467,20,0,353976321.962,1.476740,25014.017350,7029.744147,24005.910964,91997108.991
34,3057.837,20,0,353962177.331,1.479186,28119.492750,6980.163151,27239.368475,92146291.654
35,3154.174,20,0,353948586.934,1.470662,22324.497003,6420.523666,21381.301230,91935288.251
36,3250.574,20,0,353936877.542,1.472982,24801.576995,6381.799979,23966.452605,92074739.410
37,3347.035,20,0,353925582.343,1.465269,20923.735539,5886.096047,20078.759480,91875205.212
38,3443.697,20,0,353915719.348,1.467511,22741.868937,5866.812187,21972.098614,92009385.856
39,3540.021,20,0,353906112.577,1.460380,22377.588877,5407.229405,21714.473379,91820695.566
40,3636.470,20,0,353897638.791,1.462570,20551.618441,5423.775052,19823.008972,91946939.842
41,3732.918,20,0,353889498.863,1.456178,18663.090433,5003.043419,17980.002810,91789531.672
42,3829.236,20,0,353882313.967,1.458278,19031.897747,5004.302880,18362.191714,91904012.539
43,3925.647,20,0,353875388.299,1.452451,16579.387101,4649.362920,15914.128976,91756174.474
44,4022.054,20,0,353869227.068,1.454459,17739.050157,4639.653841,17121.551118,91865417.359
45,4118.507,20,0,353863262.518,1.449089,15665.058952,4329.658128,15054.837511,91725491.455
46,4214.949,20,0,353857916.395,1.451029,16582.818180,4320.079957,16010.208243,91828990.346
47,4311.172,20,0,353852734.228,1.446069,15006.456104,4040.734341,14452.203666,91699430.066
48,4407.866,20,0,353848063.537,1.447936,15467.316333,4034.497335,14931.868798,91795775.883
49,4504.152,20,0,353843532.696,1.443344,14649.652819,3779.131087,14153.815597,91676507.274
50,4600.843,20,0,353839426.412,1.445139,14707.518641,3776.240136,14214.468509,91768280.263
51,4697.329,20,0,353835446.827,1.440907,13386.997353,3547.155695,12908.500479,91659608.743
52,4793.783,20,0,353831827.126,1.442598,14111.743205,3539.049108,13660.762339,91743274.964
53,4890.373,20,0,353828327.283,1.438673,12104.771823,3336.705441,11635.802408,91639900.225
54,4987.069,20,0,353825082.355,1.440271,15566.442941,3319.802639,15208.321941,91717587.572
55,5083.504,20,0,353821916.485,1.436632,11218.125456,3149.159459,10767.039214,91628754.995
56,5180.191,20,0,353819073.522,1.438196,12238.648392,3124.790535,11833.013081,91697147.152
57,5276.484,20,0,353816324.924,1.434759,10913.622307,2964.339280,10503.325401,91609854.032
58,5372.945,20,0,353813811.526,1.436315,10858.297143,2956.055452,10448.174625,91682486.379
59,5469.536,20,0,353811379.043,1.433105,10329.814635,2803.660559,9942.060041,91598284.294
60,5566.506,20,0,353809135.687,1.434610,10356.114575,2796.557653,9971.377758,91669204.044
61,5663.222,20,0,353806956.452,1.431584,9958.674863,2658.076824,9597.386760,91587407.772
62,5759.872,20,0,353804938.643,1.433040,9845.700139,2651.096669,9482.061890,91654500.010
63,5856.218,20,0,353802975.694,1.430196,9655.825261,2523.006831,9320.375422,91578306.300
64,5952.481,20,0,353801154.275,1.431603,9352.719546,2516.993271,9007.669387,91641525.933
65,6049.071,20,0,353799386.161,1.428941,8962.766094,2399.400629,8635.626942,91570215.352
66,6145.578,20,0,353797743.846,1.430287,8997.463002,2391.893001,8673.706725,91631175.670
67,6241.958,20,0,353796140.850,1.427770,8880.002577,2284.834729,8581.024183,91563195.835
68,6338.430,20,0,353794646.567,1.429082,8739.385870,2276.986292,8437.546966,91622312.742
69,6434.807,20,0,353793174.403,1.426687,9337.261928,2176.825426,9079.971992,91559016.645
70,6531.282,20,0,353791798.604,1.427937,8030.850242,2173.323562,7731.184922,91610839.281
71,6627.568,20,0,353790478.047,1.425693,7413.277781,2080.403744,7115.378255,91552502.089
72,6724.101,20,0,353789245.532,1.426912,7942.842308,2069.751858,7668.433424,91604183.956
73,6820.474,20,0,353788042.080,1.424773,7098.377796,1992.298693,6813.054620,91546052.269
74,6916.817,20,0,353786913.975,1.425955,7744.011776,1977.820977,7487.185224,91595973.289
75,7013.255,20,0,353785811.779,1.423920,6872.821172,1907.966710,6602.676268,91540305.253
76,7109.515,20,0,353784774.609,1.425062,7628.145988,1893.008171,7389.528489,91587861.881
77,7205.900,20,0,353783760.155,1.423132,6623.473645,1829.025298,6365.930379,91535804.868
78,7302.291,20,0,353782804.867,1.424231,7554.757163,1813.206935,7333.937306,91581439.398
79,7398.803,20,0,353781870.687,1.422393,6361.129650,1754.997874,6114.241808,91530752.529
80,7495.424,20,0,353780981.489,1.423459,7762.549330,1738.815988,7565.295173,91571791.169
81,7591.775,20,0,353780111.534,1.421705,5870.575626,1687.076435,5622.937958,91527724.376
82,7688.175,20,0,353779303.616,1.422740,6432.273170,1669.078337,6211.949423,91568213.549
83,7784.600,20,0,353778516.878,1.421067,5722.624304,1619.534617,5488.673478,91521509.411
84,7881.159,20,0,353777772.410,1.422082,6178.287221,1607.147615,5965.593812,91563272.883
85,7977.541,20,0,353777045.323,1.420477,5542.814236,1558.717236,5319.134350,91517416.323
86,8073.918,20,0,353776355.773,1.421465,6035.997824,1547.381393,5834.284922,91558164.810
87,8170.555,20,0,353775681.308,1.419925,5422.250742,1501.660979,5210.164816,91513563.061
88,8267.245,20,0,353775039.976,1.420888,5920.565499,1490.998876,5729.748527,91553097.850
89,8363.554,20,0,353774410.315,1.419405,5643.103786,1446.994572,5454.431872,91510117.273
90,8459.918,20,0,353773810.704,1.420336,5695.342206,1438.739668,5510.621654,91547718.074
